,0
82,4.76894105812647
86,4.767179956750065
90,4.75609033224587
94,4.741638849602481
98,4.721997919252015
102,4.71868288874245
106,4.753795402135365
110,4.7929551418261305
115,4.882012230393853
119,4.943109872967712
123,4.981886311392422
127,5.028565225321959
131,5.074228504760054
135,5.146668106448041
139,5.246514496711475
143,5.390629250937115
147,5.543700351947998
151,5.683074955571931
155,5.799050184464413
160,5.890147817281555
164,5.954259938105497
168,6.05989657261455
172,6.17676095134005
176,6.2892251380588196
180,6.428534373952536
184,6.566871820954701
188,6.615025455336057
192,6.744137959340615
196,6.805993938333742
200,6.775767295965114
205,6.871795690752506
209,6.88136177034602
213,6.925279327351927
217,6.972993325595878
221,6.9980440775766315
225,7.036433657352454
229,7.053226282992372
233,7.046056474935613
237,7.073380744426176
241,7.102101681576538
246,7.132879953422707
250,7.135157669134389
254,7.1540383562000045
258,7.184814008482725
262,7.206390422809874
266,7.201508637093647
270,7.2027333361132255
274,7.194323308421252
278,7.184697054284486
282,7.17323205048055
286,7.177623354948493
291,7.208823204376261
295,7.212691792985182
299,7.23477996332878
303,7.232227422557447
307,7.244087881825559
311,7.230265317555256
315,7.207430870329628
319,7.205739891005718
323,7.18424016603656
327,7.149148629669267
331,7.135562605710737
336,7.107014637247381
340,7.095803293256213
344,7.079680840048706
348,7.0624517217186815
352,7.0559339460158945
356,7.0443827984711
360,7.02364129109605
364,7.006032847728264
368,6.981454079060713
372,6.949616064889915
376,6.914282593606422
381,6.881419418745174
385,6.851632690105321
389,6.818193121682563
393,6.783435776384054
397,6.7627303504936105
401,6.749817729791579
405,6.737011000842345
409,6.737709067729451
413,6.744500150793681
417,6.751049286468797
421,6.7561901283165104
426,6.779355231861997
430,6.787534764776439
434,6.814989855811319
438,6.836049895101223
442,6.8665452514339576
446,6.897167462500374
450,6.925739807967115
454,6.965977546025672
458,7.006486081288563
462,7.0398696312700295
466,7.0925574232517254
471,7.127584643350964
475,7.1573838248994335
479,7.1836281361796335
483,7.194682011097738
487,7.211684340566716
491,7.217568296387769
495,7.205615472339869
499,7.223842737945094
503,7.229290739505193
507,7.209188287117874
511,7.214445713052099
516,7.208071767781542
520,7.195030314615046
524,7.1893183075987075
528,7.1683761115533935
532,7.1508337595950495
536,7.146694801008252
540,7.137313775728965
544,7.1174875623596865
548,7.1059197064078425
552,7.10108712526276
556,7.093737318876801
561,7.111309781689518
565,7.114193679210143
569,7.102794981566938
573,7.138026457263584
577,7.132836622299933
581,7.110085926382555
585,7.136224200685214
589,7.145156364271754
593,7.137480990239869
597,7.158093232995748
601,7.174404844653223
606,7.18775173367241
610,7.219217496460772
614,7.260260760427727
618,7.279783086702784
